panel,scenario-id,scenario-text,scenario-url,sex,age,body-area,priority-clinical-areas
Gyn and OB,3180664,"Infertility, endometriosis, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5292,Female Only,10 - 60,Pelvis,
Gyn and OB,3164925,"Infertility, evaluate ovulatory function and reserve, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5239,Female Only,10 - 60,Pelvis,
Gyn and OB,3180661,"Infertility, polycystic ovary syndrome suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5289,Female Only,10 - 60,Pelvis,
Gyn and OB,3180662,"Infertility, polycystic ovary syndrome, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5290,Female Only,10 - 60,Pelvis,
Gyn and OB,3097329,"Infertility, recurring pregnancy loss, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=2123,Female Only,10 - 60,Pelvis,
Gyn and OB,3164926,"Infertility, tubal occlusion suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5240,Female Only,10 - 60,Pelvis,
Gyn and OB,3197485,"Multiple gestations suspected, dichorionic, first trimester, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7756,Female Only,10 - 60,Pelvis,
Gyn and OB,3197486,"Multiple gestations suspected, monochorionic, first trimester, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7757,Female Only,10 - 60,Pelvis,
Gyn and OB,3197494,"Multiple gestations, dichorionic twins, second trimester anatomy exam, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7763,Female Only,10 - 60,Pelvis,
Gyn and OB,3197490,"Multiple gestations, dichorionic, first trimester US performed, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7760,Female Only,10 - 60,Pelvis,
Gyn and OB,3197487,"Multiple gestations, dichorionic, first trimester, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7758,Female Only,10 - 60,Pelvis,
Gyn and OB,3197496,"Multiple gestations, monochorionic twins, second trimester anatomy exam, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7764,Female Only,10 - 60,Pelvis,
Gyn and OB,3197491,"Multiple gestations, monochorionic, first trimester US performed, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7761,Female Only,10 - 60,Pelvis,
Gyn and OB,3197488,"Multiple gestations, monochorionic, first trimester, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7759,Female Only,10 - 60,Pelvis,
Gyn and OB,3197493,"Multiple gestations, multichorionic higher order multiples, second trimester anatomy exam, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7762,Female Only,10 - 60,Pelvis,
Gyn and OB,3185425,"Nuchal translucency measurement, increased, 11-14 weeks gestation, dichorionic twins",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5376,Female Only,10 - 60,Pelvis,
Gyn and OB,3185426,"Nuchal translucency measurement, increased, 11-14 weeks gestation, monochorionic twins,",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5377,Female Only,10 - 60,Pelvis,
Gyn and OB,3185424,"Nuchal translucency measurement, increased, 11-14 weeks gestation, single gestation",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5375,Female Only,10 - 60,Pelvis,
Gyn and OB,3185423,"Nuchal translucency measurement, routine, 11-14 weeks gestation, single or twins, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5374,Female Only,10 - 60,Pelvis,
Gyn and OB,3141652,"Ovarian cancer, recurrence known",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4450,Female Only,18 - 150,Pelvis,
Gyn and OB,3141651,"Ovarian cancer, recurrence suspected",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4449,Female Only,18 - 150,Pelvis,
Gyn and OB,3194860,"Pelvic floor surgery, postoperative, chronic complications, not recurrent pelvic floor dysfunction, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5960,Female Only,18 - 150,Pelvis,
Gyn and OB,3194859,"Pelvic floor surgery, postoperative, subacute complications, not recurrent pelvic floor dysfunction, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5959,Female Only,18 - 150,Pelvis,
Gyn and OB,3194841,"Pelvic organ prolapse suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5943,Female Only,18 - 150,Pelvis,
Gyn and OB,3074377,"Pelvic pain, acute, negative beta-hCG, gynecological etiology suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=1042,Female Only,10 - 60,Pelvis,
Gyn and OB,3074379,"Pelvic pain, acute, negative beta-hCG, non-gynecological etiology suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=1044,Female Only,10 - 60,Pelvis,
Gyn and OB,3074376,"Pelvic pain, acute, positive beta-hCG, gynecological etiology suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=1041,Female Only,10 - 60,Pelvis,
Gyn and OB,3074378,"Pelvic pain, acute, positive beta-hCG, non-gynecological etiology suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=1043,Female Only,10 - 60,Pelvis,
Gyn and OB,3193989,"Pelvic pain, acute, postmenopausal, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5482,Female Only,18 - 150,Pelvis,
Gyn and OB,3148178,"Pelvic pain, chronic, post-menopausal",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4553,Female Only,18 - 150,Pelvis,
Gyn and OB,3148585,"Perineal pain, chronic, post-menopausal",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4573,Female Only,18 - 150,Pelvis,
Gyn and OB,3164899,"Placenta accreta spectrum disorder suspected, high risk, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5213,Female Only,10 - 60,Pelvis,
Gyn and OB,3164900,"Placenta accreta spectrum disorder, follow up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5214,Female Only,10 - 60,Pelvis,
Gyn and OB,3185407,"Postpartum hemorrhage, <= 24 hrs after cesarean delivery, initial Imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5358,Female Only,10 - 60,Pelvis,
Gyn and OB,3185408,"Postpartum hemorrhage, <= 24 hrs after vaginal delivery, initial Imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5359,Female Only,10 - 60,Pelvis,
Gyn and OB,3185409,"Postpartum hemorrhage, >24hrs to <= 6wks hrs after cesarean delivery, initial Imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5360,Female Only,10 - 60,Pelvis,
Gyn and OB,3185410,"Postpartum hemorrhage, >24hrs to <= 6wks hrs after vaginal delivery, initial Imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5361,Female Only,10 - 60,Pelvis,
Gyn and OB,3194848,"Urinary dysfunction, digital maneuvers to void, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5950,Female Only,18 - 150,Pelvis,
Gyn and OB,3194843,"Urinary dysfunction, frequent urination, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5945,Female Only,18 - 150,Pelvis,
Gyn and OB,3194846,"Urinary dysfunction, incomplete voiding, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5948,Female Only,18 - 150,Pelvis,
Gyn and OB,3194842,"Urinary dysfunction, involuntary leakage of urine, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5944,Female Only,18 - 150,Pelvis,
Gyn and OB,3194847,"Urinary dysfunction, splinting, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5949,Female Only,18 - 150,Pelvis,
Gyn and OB,3194845,"Urinary dysfunction, straining to void, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5947,Female Only,18 - 150,Pelvis,
Gyn and OB,3194844,"Urinary dysfunction, urgency, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5946,Female Only,18 - 150,Pelvis,
Gyn and OB,3185427,"Uterine bleeding, abnormal, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5378,Female Only,12 - 150,Pelvis,
Gyn and OB,3191929,"Uterine bleeding, abnormal, US inconclusive, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5434,Female Only,12 - 150,Pelvis,
Gyn and OB,3191930,"Uterine bleeding, abnormal, US performed, follow-up imaging for further characterization",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5435,Female Only,12 - 150,Pelvis,
Gyn and OB,3191945,"Vaginal bleeding, after first trimester, low lying placenta suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5450,Female Only,10 - 60,Pelvis,
Gyn and OB,3191946,"Vaginal bleeding, after first trimester, low lying placenta, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5451,Female Only,10 - 60,Pelvis,
Gyn and OB,3185440,"Vaginal bleeding, after first trimester, painful, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5391,Female Only,10 - 60,Pelvis,
Gyn and OB,3074160,"Vaginal bleeding, after first trimester, painless, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=871,Female Only,10 - 60,Pelvis,
