,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
46,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, premenopausal, follow-up imaging",3074171,CT pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
47,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, premenopausal, follow-up imaging",3074171,CT pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
48,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, premenopausal, follow-up imaging",3074171,CT pelvis without and with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
49,Gyn and OB,"Adnexal mass, likely benign, no acute symptoms, premenopausal, follow-up imaging",3074171,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
50,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, follow-up imaging",3149341,US duplex Doppler pelvis,0 mSvO,0 mSv [ped]O,Usually appropriate
51,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, follow-up imaging",3149341,US pelvis transabdominal,0 mSvO,0 mSv [ped]O,Usually appropriate
52,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, follow-up imaging",3149341,US pelvis transabdominal and US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
53,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, follow-up imaging",3149341,US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
54,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, follow-up imaging",3149341,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
55,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, follow-up imaging",3149341,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
