,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
55,Gastrointestinal,"Abdominal mass, intra-abdominal neoplasm suspected",3074207,Fluoroscopy upper GI series,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
56,Gastrointestinal,"Abdominal mass, intra-abdominal neoplasm suspected",3074207,Fluoroscopy upper GI series with small bowel follow-through,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
57,Gastrointestinal,"Abdominal mass, intra-abdominal neoplasm suspected",3074207,CT abdomen without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,Usually not appropriate
58,Gastrointestinal,"Abdominal mass, intra-abdominal neoplasm suspected",3074207,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
59,Gastrointestinal,"Abdominal wall hernia suspected, incisional, initial imaging",3195278,US abdomen,0 mSvO,0 mSv [ped]O,Usually appropriate
60,Gastrointestinal,"Abdominal wall hernia suspected, incisional, initial imaging",3195278,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
61,Gastrointestinal,"Abdominal wall hernia suspected, incisional, initial imaging",3195278,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
62,Gastrointestinal,"Abdominal wall hernia suspected, incisional, initial imaging",3195278,MRI abdomen without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
63,Gastrointestinal,"Abdominal wall hernia suspected, incisional, initial imaging",3195278,MRI abdomen without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
64,Gastrointestinal,"Abdominal wall hernia suspected, incisional, initial imaging",3195278,US pelvis,0 mSvO,0 mSv [ped]O,Usually not appropriate
65,Gastrointestinal,"Abdominal wall hernia suspected, incisional, initial imaging",3195278,Fluoroscopy upper GI series,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
66,Gastrointestinal,"Abdominal wall hernia suspected, incisional, initial imaging",3195278,Fluoroscopy upper GI series with small bowel follow-through,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
67,Gastrointestinal,"Abdominal wall hernia suspected, incisional, initial imaging",3195278,Radiography abdomen and pelvis,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
68,Gastrointestinal,"Abdominal wall hernia suspected, incisional, initial imaging",3195278,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
69,Gastrointestinal,"Abdominal wall hernia suspected, incisional, initial imaging",3195278,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
70,Gastrointestinal,"Abdominal wall hernia suspected, incisional, initial imaging",3195278,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,Usually not appropriate
71,Gastrointestinal,"Abdominal wall hernia suspected, lumbar, initial imaging",3195279,US abdomen,0 mSvO,0 mSv [ped]O,Usually appropriate
72,Gastrointestinal,"Abdominal wall hernia suspected, lumbar, initial imaging",3195279,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
73,Gastrointestinal,"Abdominal wall hernia suspected, lumbar, initial imaging",3195279,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
74,Gastrointestinal,"Abdominal wall hernia suspected, lumbar, initial imaging",3195279,MRI abdomen without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
75,Gastrointestinal,"Abdominal wall hernia suspected, lumbar, initial imaging",3195279,MRI abdomen without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
76,Gastrointestinal,"Abdominal wall hernia suspected, lumbar, initial imaging",3195279,US pelvis,0 mSvO,0 mSv [ped]O,Usually not appropriate
77,Gastrointestinal,"Abdominal wall hernia suspected, lumbar, initial imaging",3195279,Fluoroscopy upper GI series,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
78,Gastrointestinal,"Abdominal wall hernia suspected, lumbar, initial imaging",3195279,Fluoroscopy upper GI series with small bowel follow-through,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
79,Gastrointestinal,"Abdominal wall hernia suspected, lumbar, initial imaging",3195279,Radiography abdomen and pelvis,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
80,Gastrointestinal,"Abdominal wall hernia suspected, lumbar, initial imaging",3195279,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
81,Gastrointestinal,"Abdominal wall hernia suspected, lumbar, initial imaging",3195279,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
82,Gastrointestinal,"Abdominal wall hernia suspected, lumbar, initial imaging",3195279,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,Usually not appropriate
