panel,scenario-id,scenario-text,scenario-url,sex,age,body-area,priority-clinical-areas,ct_usually_appropriate,ct_may_be_appropriate,ct_not_appropriate,other_usually_appropriate,other_may_be_appropriate,other_not_appropriate,mr_usually_appropriate,mr_may_be_appropriate,mr_not_appropriate,us_usually_appropriate,us_may_be_appropriate,us_not_appropriate,other_modality_usually_appropriate,other_modality_may_be_appropriate,other_modality_not_appropriate,green-green,green-yellow,green-red,yellow-green,yellow-yellow,yellow-red,red-green,red-yellow,red-red
Gastrointestinal,3194198,"Epigastric pain, esophagitis suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5565,All,18 - 150,Abdomen,,False,True,True,True,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False
Gastrointestinal,3194203,"Epigastric pain, gastric cancer suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5569,All,18 - 150,Abdomen,,True,True,True,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3194199,"Epigastric pain, gastritis suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5566,All,18 - 150,Abdomen,,False,True,True,True,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False
Gastrointestinal,3194205,"Epigastric pain, hiatal hernia suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5570,All,18 - 150,Abdomen,,False,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
Gastrointestinal,3194200,"Epigastric pain, peptic ulcer suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5567,All,18 - 150,Abdomen,,False,True,True,True,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False
Gastrointestinal,3195283,"Groin hernia suspected, femoral, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6236,All,18 - 150,Abdomen-pelvis,,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3195282,"Groin hernia suspected, inguinal, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6235,All,18 - 150,Abdomen-pelvis,,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3149322,"Jaundice, biliary obstruction suspected",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4686,All,18 - 150,Abdomen,,True,False,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False
Gastrointestinal,3149321,"Jaundice, initial exam",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4685,All,18 - 150,Abdomen,,True,False,True,True,True,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3081486,"Jaundice, non-obstructive etiology suspected",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=1139,All,18 - 150,Abdomen,,True,False,True,True,False,True,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3191939,"Liver lesion, <1cm, indeterminate on noncontrast MRI, hx of extrahepatic malignancy",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5444,All,18 - 150,Abdomen,,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3191938,"Liver lesion, <1cm, indeterminate on noncontrast or single phase CT, hx of extrahepatic malignancy",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5443,All,18 - 150,Abdomen,,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3100710,"Liver lesion, <1cm, indeterminate on US, hx of extrahepatic malignancy",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=2164,All,18 - 150,Abdomen,,False,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
Gastrointestinal,3191934,"Liver lesion, >1cm, indeterminate on noncontrast MRI, hx of extrahepatic malignancy",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5439,All,18 - 150,Abdomen,,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3191932,"Liver lesion, >1cm, indeterminate on noncontrast MRI, normal liver, no extrahepatic malignancy",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5437,All,18 - 150,Abdomen,,True,False,True,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3191933,"Liver lesion, >1cm, indeterminate on noncontrast or single phase CT, hx of extrahepatic malignancy",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5438,All,18 - 150,Abdomen,,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3191931,"Liver lesion, >1cm, indeterminate on noncontrast or single phase CT, normal liver, no extrahepatic malignancy",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5436,All,18 - 150,Abdomen,,True,False,True,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3100714,"Liver lesion, >1cm, indeterminate on US, hx of extrahepatic malignancy",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=2168,All,18 - 150,Abdomen,,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3100711,"Liver lesion, >1cm, indeterminate on US, normal liver, no extrahepatic malignancy",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=2165,All,18 - 150,Abdomen,,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3196472,"LLQ pain, diverticulitis complications suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7112,All,18 - 150,Abdomen,,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
Gastrointestinal,3196471,"LLQ pain, diverticulitis suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7111,All,18 - 150,Abdomen,,True,True,True,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
Gastrointestinal,3196470,"LLQ pain, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7110,All,18 - 150,Abdomen,,True,True,True,False,True,True,False,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False
Gastrointestinal,3141499,"Mesenteric ischemia, acute, suspected, initial exam",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=3537,All,18 - 150,Abdomen-pelvis,,True,True,True,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
Gastrointestinal,3141500,"Mesenteric ischemia, chronic, suspected, initial exam",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=3538,All,18 - 150,Abdomen-pelvis,,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3084081,"Pancreatitis necrotizing, significant clinical deterioration",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=2105,All,18 - 150,Abdomen,,True,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
Gastrointestinal,3084080,"Pancreatitis suspected, atypical presentation",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=2104,All,18 - 150,Abdomen,,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
Gastrointestinal,3084079,"Pancreatitis suspected, typical presentation",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=2103,All,18 - 150,Abdomen,,False,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False
Gastrointestinal,3084078,"Pancreatitis, acute, critically ill, >48 hours",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=2102,All,18 - 150,Abdomen,,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
Gastrointestinal,3084077,"Pancreatitis, acute, severe, > 7 days",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=2101,All,18 - 150,Abdomen,,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
